,pred_idx
0,0
1,0
2,0
3,1
4,0
5,1
6,0
7,1
8,0
9,1
10,0
11,0
12,0
13,1
14,1
15,0
16,1
17,0
18,1
19,0
20,1
21,0
22,0
23,1
24,0
25,0
26,0
27,1
28,0
29,1
30,0
31,1
32,0
33,0
34,0
35,0
36,0
37,1
38,1
39,1
40,0
41,1
42,0
43,1
44,0
45,1
46,0
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,0
56,0
57,1
58,1
59,0
60,1
61,1
62,0
63,0
64,0
65,0
66,0
67,0
68,1
69,1
70,0
71,0
72,0
73,1
74,0
75,1
76,1
77,0
78,1
79,0
80,0
81,0
82,0
83,1
84,1
85,1
86,1
87,1
88,1
89,0
90,1
91,1
92,0
93,0
94,0
95,0
96,1
97,1
98,0
99,1
100,0
101,0
102,1
103,0
104,0
105,0
106,0
107,1
108,0
109,0
110,0
111,1
112,0
113,1
114,1
115,0
116,0
117,1
118,0
119,1
120,0
121,0
122,1
123,1
124,1
125,0
126,1
127,0
128,1
129,0
130,0
131,0
132,0
133,1
134,1
135,0
136,0
137,1
138,0
139,0
140,1
141,1
142,0
143,1
144,1
145,1
146,1
147,1
148,0
149,0
150,1
151,1
152,0
153,0
154,1
155,0
156,0
157,1
158,0
159,1
160,0
161,0
162,0
163,0
164,1
165,1
166,1
167,1
168,1
169,0
170,1
171,1
172,0
173,0
174,1
175,0
176,1
177,1
178,1
179,1
180,0
181,1
182,1
183,1
184,0
185,0
186,0
187,1
188,0
189,1
190,1
191,0
192,0
193,0
194,0
195,1
196,1
197,0
198,1
199,0
200,0
201,1
202,1
203,1
204,0
205,0
206,1
207,0
208,0
209,0
210,1
211,0
212,1
213,1
214,1
215,1
216,0
217,1
218,0
219,1
220,1
221,1
222,0
223,0
224,1
225,1
226,0
227,0
228,0
229,0
230,1
231,1
232,0
233,1
234,1
235,0
236,1
237,1
238,0
239,1
240,0
241,0
242,0
243,1
244,0
245,1
246,0
247,1
248,1
249,1
250,1
251,0
252,1
253,1
254,0
255,1
256,1
257,0
258,1
259,1
260,1
261,0
262,1
263,0
264,0
265,1
266,0
267,1
268,1
269,1
270,0
271,0
272,1
273,1
274,0
275,0
276,1
277,1
278,1
279,1
280,0
281,1
282,1
283,1
284,0
285,0
286,1
287,1
288,0
289,1
290,1
291,0
292,0
293,1
294,1
295,0
296,1
297,0
298,0
299,0
300,1
301,1
302,1
303,1
304,0
305,1
306,0
307,0
308,0
309,1
310,0
311,1
312,1
313,0
314,1
315,1
316,1
317,0
318,1
319,0
320,1
321,0
322,0
323,0
324,1
325,1
326,0
327,1
328,0
329,1
330,1
331,1
332,0
333,0
334,1
335,1
336,0
337,1
338,0
339,0
340,1
341,1
342,1
343,1
344,0
345,1
346,0
347,0
348,0
349,1
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,1
358,1
359,0
360,0
361,0
362,1
363,0
364,1
365,1
366,0
367,1
368,0
369,0
370,0
371,0
372,1
373,0
374,0
375,0
376,1
377,1
378,0
379,1
380,0
381,0
382,1
383,1
384,1
385,0
386,0
387,1
388,0
389,0
390,1
391,1
392,1
393,1
394,1
395,0
396,0
397,1
398,0
399,0
400,0
401,1
402,0
403,0
404,1
405,0
406,0
407,0
408,1
409,0
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,0
418,1
419,0
420,0
421,0
422,0
423,0
424,1
425,0
426,1
427,0
428,1
429,1
430,1
431,0
432,1
433,1
434,1
435,1
436,0
437,1
438,0
439,1
440,1
441,0
442,0
443,1
444,0
445,1
446,0
447,0
448,0
449,1
450,1
451,1
452,0
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,0
464,0
465,1
466,0
467,0
468,1
469,1
470,1
471,1
472,0
473,1
474,1
475,0
476,0
477,1
478,0
479,0
480,1
481,1
482,0
483,1
484,1
485,0
486,1
487,0
488,0
489,0
490,1
491,1
492,0
493,0
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,0
502,0
503,1
504,0
505,0
506,1
507,0
508,1
509,1
510,0
511,1
512,0
513,0
514,0
515,1
516,0
517,0
518,0
519,1
520,0
521,0
522,0
523,1
524,0
525,0
526,0
527,1
528,1
529,0
530,0
531,1
